Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
cow,3.0,102.8,painless lumps,depression,loss of appetite,pneumonia
cow,9.0,102.8,difficulty walking,blisters on gums,loss of appetite,foot and mouth
sheep,5.0,100.3,painless lumps,depression,loss of appetite,lumpy virus
cow,8.0,100.6,depression,painless lumps,loss of appetite,lumpy virus
cow,4.0,100.6,fatigue,shortness of breath,chest discomfort,anthrax
buffalo,5.0,102.8,loss of appetite,sores on tongue,lameness,foot and mouth
buffalo,3.0,100.5,crackling sound,lameness,swelling in muscle,blackleg
buffalo,15.0,100.3,loss of appetite,painless lumps,depression,lumpy virus
cow,13.0,102.7,swelling in extremities,fatigue,chest discomfort,anthrax
goat,2.0,103.3,depression,crackling sound,loss of appetite,blackleg
cow,6.0,104.0,chest discomfort,swelling in abdomen,shortness of breath,anthrax
buffalo,14.0,100.2,chills,fatigue,chest discomfort,anthrax
sheep,4.0,101.5,blisters on tongue,lameness,loss of appetite,foot and mouth
sheep,3.0,102.4,lameness,loss of appetite,blisters on gums,foot and mouth
goat,10.0,101.6,difficulty walking,loss of appetite,crackling sound,blackleg
cow,6.0,102.3,painless lumps,loss of appetite,depression,lumpy virus
sheep,6.0,100.8,chills,fatigue,shortness of breath,anthrax
sheep,5.0,101.8,depression,loss of appetite,crackling sound,blackleg
goat,1.0,102.8,crackling sound,loss of appetite,difficulty walking,blackleg
buffalo,14.0,102.2,lameness,loss of appetite,sores on hooves,foot and mouth
goat,7.0,103.8,lameness,depression,crackling sound,blackleg
goat,7.0,102.7,depression,loss of appetite,painless lumps,lumpy virus
cow,12.0,104.4,swelling in extremities,chest discomfort,sweats,anthrax
sheep,10.0,100.4,loss of appetite,depression,painless lumps,lumpy virus
cow,11.0,100.3,swelling in muscle,depression,loss of appetite,blackleg
sheep,8.0,103.6,painless lumps,loss of appetite,depression,lumpy virus
cow,10.0,101.2,chills,swelling in abdomen,sweats,anthrax
cow,3.0,100.4,loss of appetite,lameness,depression,blackleg
buffalo,5.0,103.0,loss of appetite,difficulty walking,sores on hooves,foot and mouth
buffalo,7.0,102.8,depression,loss of appetite,painless lumps,pneumonia
goat,9.0,102.1,loss of appetite,difficulty walking,crackling sound,blackleg
goat,6.0,102.6,difficulty walking,crackling sound,loss of appetite,blackleg
buffalo,6.0,104.6,loss of appetite,depression,painless lumps,pneumonia
sheep,1.0,101.7,fatigue,swelling in extremities,chest discomfort,anthrax
cow,10.0,101.4,depression,loss of appetite,crackling sound,blackleg
buffalo,15.0,102.7,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,2.0,104.3,loss of appetite,depression,painless lumps,pneumonia
goat,10.0,100.9,depression,loss of appetite,difficulty walking,blackleg
cow,12.0,103.5,chest discomfort,sweats,shortness of breath,anthrax
cow,2.0,101.3,depression,swelling in muscle,loss of appetite,blackleg
sheep,2.0,103.0,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,6.0,100.4,crackling sound,depression,swelling in limb,blackleg
buffalo,4.0,100.2,fatigue,shortness of breath,sweats,anthrax
buffalo,14.0,105.0,chills,fatigue,swelling in neck,anthrax
goat,1.0,100.2,swelling in abdomen,chest discomfort,shortness of breath,anthrax
cow,5.0,100.4,sores on tongue,loss of appetite,difficulty walking,foot and mouth
sheep,10.0,102.4,crackling sound,swelling in limb,lameness,blackleg
goat,3.0,104.2,depression,painless lumps,loss of appetite,lumpy virus
cow,9.0,102.4,crackling sound,loss of appetite,swelling in muscle,blackleg
buffalo,12.0,100.5,swelling in abdomen,chest discomfort,chills,anthrax
buffalo,4.0,102.2,swelling in extremities,chest discomfort,sweats,anthrax
goat,4.0,102.9,depression,painless lumps,loss of appetite,lumpy virus
cow,13.0,100.5,painless lumps,depression,loss of appetite,lumpy virus
goat,3.0,104.6,loss of appetite,lameness,blisters on mouth,foot and mouth
goat,5.0,102.4,sores on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,8.0,104.7,chills,fatigue,swelling in extremities,anthrax
buffalo,6.0,104.7,depression,painless lumps,loss of appetite,pneumonia
sheep,3.0,104.6,sweats,swelling in abdomen,chills,anthrax
goat,6.0,102.2,crackling sound,depression,swelling in limb,blackleg
buffalo,15.0,102.9,loss of appetite,difficulty walking,crackling sound,blackleg
buffalo,3.0,100.6,painless lumps,loss of appetite,depression,lumpy virus
cow,3.0,102.5,loss of appetite,depression,painless lumps,pneumonia
goat,2.0,105.0,swelling in muscle,loss of appetite,depression,blackleg
cow,8.0,101.2,painless lumps,loss of appetite,depression,lumpy virus
sheep,9.0,102.9,fatigue,chills,swelling in neck,anthrax
sheep,2.0,104.9,depression,loss of appetite,painless lumps,pneumonia
buffalo,13.0,102.5,chills,swelling in extremities,chest discomfort,anthrax
buffalo,1.0,103.8,loss of appetite,blisters on gums,lameness,foot and mouth
sheep,9.0,102.6,painless lumps,loss of appetite,depression,pneumonia
goat,10.0,100.9,loss of appetite,depression,painless lumps,pneumonia
goat,10.0,100.1,sweats,chest discomfort,swelling in neck,anthrax
goat,10.0,102.4,sweats,shortness of breath,chest discomfort,anthrax
goat,8.0,102.9,depression,loss of appetite,painless lumps,pneumonia
cow,15.0,104.5,painless lumps,loss of appetite,depression,lumpy virus
cow,1.0,101.6,lameness,loss of appetite,sores on hooves,foot and mouth
buffalo,1.0,101.9,loss of appetite,sores on gums,lameness,foot and mouth
sheep,6.0,101.8,difficulty walking,loss of appetite,depression,blackleg
cow,5.0,100.8,loss of appetite,crackling sound,depression,blackleg
buffalo,13.0,101.6,loss of appetite,painless lumps,depression,lumpy virus
buffalo,14.0,103.6,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,7.0,100.7,loss of appetite,painless lumps,depression,pneumonia
sheep,6.0,103.2,depression,painless lumps,loss of appetite,lumpy virus
cow,15.0,101.7,difficulty walking,loss of appetite,sores on tongue,foot and mouth
goat,5.0,103.2,loss of appetite,depression,painless lumps,pneumonia
goat,4.0,101.9,shortness of breath,sweats,fatigue,anthrax
goat,3.0,102.3,painless lumps,depression,loss of appetite,pneumonia
buffalo,4.0,103.7,difficulty walking,loss of appetite,crackling sound,blackleg
cow,9.0,101.9,loss of appetite,crackling sound,lameness,blackleg
buffalo,6.0,101.6,loss of appetite,blisters on tongue,lameness,foot and mouth
goat,2.0,101.5,loss of appetite,lameness,depression,blackleg
cow,14.0,103.3,fatigue,chills,shortness of breath,anthrax
sheep,9.0,102.6,depression,painless lumps,loss of appetite,lumpy virus
goat,2.0,101.0,loss of appetite,painless lumps,depression,lumpy virus
sheep,5.0,103.0,chest discomfort,chills,sweats,anthrax
cow,3.0,102.6,sweats,swelling in neck,chills,anthrax
buffalo,9.0,101.8,depression,loss of appetite,painless lumps,lumpy virus
goat,10.0,104.8,crackling sound,loss of appetite,swelling in limb,blackleg
buffalo,4.0,104.5,loss of appetite,depression,painless lumps,lumpy virus
cow,6.0,101.8,loss of appetite,depression,painless lumps,pneumonia
buffalo,1.0,100.7,shortness of breath,chest discomfort,sweats,anthrax
sheep,10.0,100.5,painless lumps,loss of appetite,depression,lumpy virus
cow,12.0,101.2,painless lumps,loss of appetite,depression,lumpy virus
goat,6.0,104.9,chest discomfort,swelling in neck,fatigue,anthrax
buffalo,9.0,101.9,painless lumps,loss of appetite,depression,lumpy virus
goat,10.0,101.1,painless lumps,depression,loss of appetite,lumpy virus
goat,2.0,103.9,lameness,sores on tongue,loss of appetite,foot and mouth
goat,7.0,102.5,crackling sound,depression,difficulty walking,blackleg
cow,5.0,101.1,swelling in limb,crackling sound,loss of appetite,blackleg
cow,8.0,102.8,swelling in abdomen,chest discomfort,shortness of breath,anthrax
sheep,3.0,101.5,painless lumps,depression,loss of appetite,pneumonia
cow,10.0,102.4,depression,loss of appetite,painless lumps,pneumonia
sheep,6.0,100.3,swelling in neck,fatigue,sweats,anthrax
goat,9.0,101.6,chest discomfort,sweats,swelling in neck,anthrax
cow,10.0,101.0,crackling sound,difficulty walking,loss of appetite,blackleg
cow,14.0,104.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,6.0,102.4,depression,painless lumps,loss of appetite,pneumonia
cow,12.0,101.3,painless lumps,loss of appetite,depression,pneumonia
goat,8.0,101.6,difficulty walking,depression,loss of appetite,blackleg
cow,7.0,102.0,painless lumps,depression,loss of appetite,pneumonia
buffalo,3.0,103.3,depression,painless lumps,loss of appetite,lumpy virus
sheep,6.0,101.3,depression,crackling sound,swelling in limb,blackleg
sheep,6.0,102.8,loss of appetite,depression,painless lumps,lumpy virus
buffalo,4.0,100.4,difficulty walking,blisters on gums,loss of appetite,foot and mouth
goat,10.0,100.7,fatigue,chills,chest discomfort,anthrax
goat,4.0,100.6,loss of appetite,sores on hooves,difficulty walking,foot and mouth
sheep,4.0,101.4,difficulty walking,swelling in muscle,crackling sound,blackleg
buffalo,14.0,102.9,sweats,fatigue,chills,anthrax
sheep,5.0,103.2,lameness,sores on gums,loss of appetite,foot and mouth
sheep,1.0,100.6,painless lumps,loss of appetite,depression,pneumonia
sheep,4.0,100.2,swelling in extremities,fatigue,shortness of breath,anthrax
cow,4.0,102.7,loss of appetite,sores on mouth,lameness,foot and mouth
goat,4.0,100.5,painless lumps,loss of appetite,depression,pneumonia
goat,4.0,100.2,loss of appetite,painless lumps,depression,pneumonia
buffalo,13.0,102.3,shortness of breath,swelling in extremities,sweats,anthrax
sheep,5.0,101.9,swelling in extremities,fatigue,sweats,anthrax
cow,3.0,101.7,lameness,sores on mouth,loss of appetite,foot and mouth
cow,13.0,101.8,swelling in abdomen,chills,fatigue,anthrax
sheep,7.0,102.2,painless lumps,depression,loss of appetite,lumpy virus
sheep,6.0,101.0,chills,swelling in abdomen,sweats,anthrax
goat,4.0,100.2,loss of appetite,sores on mouth,difficulty walking,foot and mouth
cow,12.0,102.1,fatigue,sweats,chest discomfort,anthrax
goat,5.0,101.9,sores on gums,lameness,loss of appetite,foot and mouth
goat,3.0,102.2,swelling in muscle,difficulty walking,loss of appetite,blackleg
cow,2.0,105.0,blisters on gums,loss of appetite,lameness,foot and mouth
cow,1.0,101.3,fatigue,chest discomfort,chills,anthrax
cow,9.0,100.3,swelling in neck,chills,fatigue,anthrax
cow,8.0,100.3,sores on gums,loss of appetite,lameness,foot and mouth
sheep,10.0,103.6,lameness,swelling in muscle,depression,blackleg
sheep,8.0,100.2,painless lumps,depression,loss of appetite,lumpy virus
buffalo,8.0,102.0,chills,shortness of breath,fatigue,anthrax
buffalo,6.0,101.5,depression,loss of appetite,painless lumps,lumpy virus
buffalo,6.0,102.6,loss of appetite,depression,painless lumps,lumpy virus
sheep,7.0,104.8,painless lumps,depression,loss of appetite,lumpy virus
buffalo,1.0,101.7,chills,shortness of breath,chest discomfort,anthrax
buffalo,3.0,103.3,crackling sound,difficulty walking,depression,blackleg
cow,3.0,102.7,loss of appetite,painless lumps,depression,lumpy virus
buffalo,14.0,100.6,depression,painless lumps,loss of appetite,lumpy virus
buffalo,1.0,100.8,loss of appetite,depression,crackling sound,blackleg
sheep,3.0,100.8,loss of appetite,depression,painless lumps,pneumonia
buffalo,13.0,103.0,loss of appetite,depression,painless lumps,lumpy virus
buffalo,1.0,102.8,loss of appetite,depression,painless lumps,pneumonia
cow,13.0,103.9,painless lumps,depression,loss of appetite,lumpy virus
goat,7.0,100.1,lameness,blisters on gums,loss of appetite,foot and mouth
cow,4.0,101.3,depression,painless lumps,loss of appetite,pneumonia
cow,8.0,103.4,depression,painless lumps,loss of appetite,lumpy virus
buffalo,2.0,101.3,loss of appetite,crackling sound,swelling in muscle,blackleg
cow,6.0,103.4,lameness,loss of appetite,sores on hooves,foot and mouth
goat,9.0,102.3,loss of appetite,depression,painless lumps,lumpy virus
buffalo,8.0,100.0,shortness of breath,fatigue,swelling in extremities,anthrax
cow,4.0,100.9,loss of appetite,difficulty walking,swelling in limb,blackleg
sheep,8.0,102.4,sweats,shortness of breath,chest discomfort,anthrax
sheep,9.0,101.3,fatigue,swelling in extremities,chills,anthrax
cow,10.0,100.4,depression,painless lumps,loss of appetite,pneumonia
goat,10.0,102.1,blisters on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,3.0,104.4,loss of appetite,blisters on gums,difficulty walking,foot and mouth
goat,4.0,101.4,loss of appetite,crackling sound,difficulty walking,blackleg
goat,8.0,100.6,painless lumps,depression,loss of appetite,pneumonia
buffalo,6.0,101.0,lameness,loss of appetite,blisters on tongue,foot and mouth
goat,4.0,103.0,chest discomfort,sweats,swelling in abdomen,anthrax
cow,13.0,104.3,crackling sound,lameness,loss of appetite,blackleg
goat,8.0,101.1,difficulty walking,depression,crackling sound,blackleg
goat,4.0,100.6,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,10.0,100.3,depression,loss of appetite,painless lumps,pneumonia
goat,1.0,100.9,chest discomfort,swelling in neck,fatigue,anthrax
goat,4.0,100.8,loss of appetite,painless lumps,depression,lumpy virus
buffalo,2.0,104.7,crackling sound,swelling in limb,loss of appetite,blackleg
sheep,1.0,104.3,depression,loss of appetite,painless lumps,lumpy virus
sheep,4.0,102.1,swelling in muscle,depression,crackling sound,blackleg
buffalo,8.0,100.4,painless lumps,loss of appetite,depression,pneumonia
goat,3.0,101.9,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
goat,1.0,103.1,loss of appetite,painless lumps,depression,pneumonia
goat,3.0,103.0,loss of appetite,depression,painless lumps,lumpy virus
sheep,7.0,102.6,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
goat,1.0,103.7,shortness of breath,chest discomfort,fatigue,anthrax
buffalo,6.0,101.8,loss of appetite,lameness,sores on gums,foot and mouth
sheep,1.0,100.5,depression,painless lumps,loss of appetite,pneumonia
sheep,2.0,101.5,chest discomfort,fatigue,sweats,anthrax
goat,10.0,102.8,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
sheep,2.0,101.7,crackling sound,difficulty walking,depression,blackleg
sheep,1.0,102.8,painless lumps,loss of appetite,depression,pneumonia
cow,8.0,102.6,swelling in muscle,crackling sound,loss of appetite,blackleg
goat,6.0,103.0,difficulty walking,loss of appetite,swelling in muscle,blackleg
sheep,1.0,100.6,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,14.0,100.2,lameness,loss of appetite,sores on tongue,foot and mouth
sheep,10.0,102.5,swelling in abdomen,sweats,fatigue,anthrax
buffalo,12.0,103.5,shortness of breath,swelling in neck,chest discomfort,anthrax
cow,8.0,101.7,swelling in limb,loss of appetite,depression,blackleg
buffalo,13.0,100.6,loss of appetite,difficulty walking,swelling in limb,blackleg
buffalo,1.0,101.8,depression,loss of appetite,painless lumps,lumpy virus
buffalo,7.0,103.1,difficulty walking,loss of appetite,sores on gums,foot and mouth
cow,8.0,100.4,loss of appetite,sores on hooves,difficulty walking,foot and mouth
buffalo,3.0,102.1,depression,painless lumps,loss of appetite,pneumonia
sheep,1.0,100.5,painless lumps,depression,loss of appetite,lumpy virus
buffalo,8.0,102.2,shortness of breath,chest discomfort,sweats,anthrax
cow,2.0,101.4,crackling sound,loss of appetite,depression,blackleg
sheep,10.0,101.0,lameness,blisters on gums,loss of appetite,foot and mouth
cow,1.0,104.8,chest discomfort,fatigue,swelling in neck,anthrax
buffalo,7.0,100.5,sores on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,6.0,100.3,difficulty walking,loss of appetite,blisters on gums,foot and mouth
buffalo,14.0,100.2,loss of appetite,painless lumps,depression,pneumonia
cow,11.0,104.1,loss of appetite,blisters on gums,difficulty walking,foot and mouth
goat,1.0,102.2,loss of appetite,sores on hooves,difficulty walking,foot and mouth
cow,8.0,101.0,loss of appetite,lameness,depression,blackleg
cow,1.0,104.7,loss of appetite,painless lumps,depression,pneumonia
cow,5.0,102.2,sweats,shortness of breath,fatigue,anthrax
goat,8.0,100.3,loss of appetite,painless lumps,depression,lumpy virus
goat,5.0,103.6,loss of appetite,painless lumps,depression,pneumonia
cow,1.0,102.4,loss of appetite,crackling sound,swelling in limb,blackleg
goat,5.0,104.2,shortness of breath,fatigue,sweats,anthrax
cow,6.0,100.1,sores on gums,lameness,loss of appetite,foot and mouth
sheep,10.0,100.4,painless lumps,loss of appetite,depression,pneumonia
cow,13.0,102.0,blisters on mouth,lameness,loss of appetite,foot and mouth
buffalo,9.0,101.4,depression,loss of appetite,painless lumps,pneumonia
cow,12.0,100.2,painless lumps,loss of appetite,depression,lumpy virus
buffalo,10.0,100.5,fatigue,swelling in neck,sweats,anthrax
buffalo,2.0,103.6,lameness,swelling in muscle,crackling sound,blackleg
sheep,7.0,101.8,loss of appetite,depression,painless lumps,lumpy virus
sheep,6.0,104.9,chest discomfort,swelling in abdomen,shortness of breath,anthrax
cow,8.0,101.9,depression,painless lumps,loss of appetite,pneumonia
